Rank,Enrollment,continent_id,affiliation_id,learning_modes_id,location_id,institution_id
1,7140000,1,1,1,1,1
2,3425832,1,1,2,2,2
3,1974343,1,1,1,3,3
4,1800000,2,1,2,4,4
5,1778000,1,2,2,5,5
6,1027000,1,1,1,6,6
7,875000,3,2,1,7,7
8,650000,1,1,3,2,8
9,646467,1,1,3,8,9
10,620000,2,1,2,9,10
11,665000,1,1,2,10,11
12,560000,1,1,2,11,12
13,549432,1,1,2,12,13
14,525000,1,1,2,13,14
15,515000,4,1,3,14,15
16,457992,2,1,2,4,16
17,454065,1,1,2,15,17
18,450000,1,1,2,16,18
19,450000,1,1,3,17,19
20,430000,2,1,2,18,20
21,429310,2,1,2,19,21
22,700000,1,1,1,20,22
23,400000,1,1,1,5,23
24,390000,1,2,2,21,24
25,370,4,1,3,22,25
26,363612,2,1,2,23,26
27,356530,2,1,2,24,27
28,350000,5,1,3,25,28
29,318027,2,1,2,26,29
30,316050,6,1,2,27,30
30,300000,2,1,2,28,31
31,300000,1,1,2,29,32
32,260079,5,1,1,30,33
33,260000,1,1,2,31,34
34,257200,4,1,2,32,35
35,256000,2,1,2,4,36
36,243000,2,1,2,23,37
37,242000,2,1,2,33,38
38,221337,2,1,2,34,39
39,215000,6,2,2,35,40
40,209406,2,1,2,36,41
41,206000,2,1,2,37,42
42,205420,5,1,1,38,43
43,200000,1,1,2,5,44
44,191567,2,1,2,26,45
45,189351,2,1,2,39,46
46,180000,5,1,2,40,47
47,177234,1,1,2,41,48
48,175000,1,1,2,5,49
49,171581,2,1,2,24,50
50,170530,2,1,2,42,51
51,170000,4,1,2,43,52
52,170000,5,1,2,44,53
53,170000,2,2,1,45,54
54,163786,2,1,2,46,55
55,162933,2,1,2,47,56
56,160957,1,1,2,48,57
57,152000,2,2,3,4,58
58,151413,1,1,1,49,59
59,150000,1,1,2,50,60
60,150000,1,1,3,31,61
61,147000,5,1,2,51,62
62,144363,2,1,2,52,63
63,144108,6,1,2,53,64
64,130000,6,2,1,54,65
65,130000,5,2,1,55,66
66,124000,2,1,2,56,67
67,120000,5,1,2,57,68
68,116782,6,2,1,58,69
69,114691,2,1,2,34,70
70,113558,6,1,2,59,71
71,110428,2,1,2,60,72
72,110000,2,2,1,61,73
73,110000,5,1,2,62,74
74,101915,2,1,1,63,75
75,100000,1,1,3,64,76
76,98648,1,1,2,65,77
77,97696,5,1,2,66,78
78,91715,5,1,2,67,79
79,91200,2,2,2,37,80
80,88766,2,1,2,68,81
81,88283,5,1,2,69,82
82,83328,1,1,1,70,83
83,83000,5,1,2,71,84
84,80000,1,1,2,5,85
85,80000,5,1,2,72,86
86,69982,5,1,3,73,87
87,67109,2,1,1,74,88
88,64144,1,1,1,70,89
89,60000,1,2,2,5,90
