Institution,YearFounded,Link,institution_id
Indira Gandhi National Open University,1985,https://en.wikipedia.org/wiki/India,1
"National University, Bangladesh",1992,https://en.wikipedia.org/wiki/Bangladesh,2
Anadolu University,1958,https://en.wikipedia.org/wiki/Turkey,3
California Community Colleges,1967,https://en.wikipedia.org/wiki/United_States,4
Islamic Azad University,1982,https://en.wikipedia.org/wiki/Iran,5
Allama Iqbal Open University,1974,https://en.wikipedia.org/wiki/Pakistan,6
"Laureate Education, Inc.",1999,https://en.wikipedia.org/wiki/United_States,7
Bangladesh Open University,1992,https://en.wikipedia.org/wiki/Bangladesh,8
Universitas Terbuka,1984,https://en.wikipedia.org/wiki/Indonesia,9
National Technological Institute of Mexico,1948,https://en.wikipedia.org/wiki/Mexico,10
Savitribai Phule Pune University,1948,https://en.wikipedia.org/wiki/India,11
Chaudhary Charan Singh University,1965,https://en.wikipedia.org/wiki/India,12
University of Mumbai,1857,https://en.wikipedia.org/wiki/India,13
Ramkhamhaeng University,1971,https://en.wikipedia.org/wiki/Thailand,14
National Open University of Nigeria,2002,https://en.wikipedia.org/wiki/Nigeria,15
California State University system,1857,https://en.wikipedia.org/wiki/United_States,16
Tribhuvan University,1959,https://en.wikipedia.org/wiki/Nepal,17
University of the Punjab,1882,https://en.wikipedia.org/wiki/Pakistan,18
Dr. B R Ambedkar Open University,1982,https://en.wikipedia.org/wiki/India,19
State University System of Florida,1954,https://en.wikipedia.org/wiki/United_States,20
University System of Ohio,2007,https://en.wikipedia.org/wiki/United_States,21
University of Delhi,1922,https://en.wikipedia.org/wiki/India,22
Payame Noor University,1987,https://en.wikipedia.org/wiki/Iran,23
Sikkim Manipal University,1995,https://en.wikipedia.org/wiki/India,24
University of South Africa,1873,https://en.wikipedia.org/wiki/South_Africa,25
State University of New York system,1948,https://en.wikipedia.org/wiki/United_States,26
National Autonomous University of Mexico,1551,https://en.wikipedia.org/wiki/Mexico,27
National Centre for Distance Education,1939,https://en.wikipedia.org/wiki/France,28
University System of Georgia,1931,https://en.wikipedia.org/wiki/United_States,29
University of Buenos Aires,1821,https://en.wikipedia.org/wiki/Argentina,30
Minnesota State Colleges and Universities,1995,https://en.wikipedia.org/wiki/United_States,31
Osmania University,1918,https://en.wikipedia.org/wiki/India,32
National University of Distance Education,1972,https://en.wikipedia.org/wiki/Spain,33
Rajiv Gandhi Technical University,1998,https://en.wikipedia.org/wiki/India,34
Cairo University,1908,https://en.wikipedia.org/wiki/Egypt,35
University of California system,1869,https://en.wikipedia.org/wiki/United_States,36
City University of New York,1961,https://en.wikipedia.org/wiki/United_States,37
University of North Carolina system,1789,https://en.wikipedia.org/wiki/United_States,38
University of Texas System,1881,https://en.wikipedia.org/wiki/United_States,39
Estácio de Sá University,1970,https://en.wikipedia.org/wiki/Brazil,40
University of Guadalajara,1791,https://en.wikipedia.org/wiki/Mexico,41
University of Nuevo León,1933,https://en.wikipedia.org/wiki/Mexico,42
Open University,1969,https://en.wikipedia.org/wiki/United_Kingdom,43
University of Applied Science and Technology,1992,https://en.wikipedia.org/wiki/Iran,44
Technical College System of Georgia,1970,https://en.wikipedia.org/wiki/United_States,45
Utah System of Higher Education,1894,https://en.wikipedia.org/wiki/United_States,46
Russian Presidential Academy of National Economy and Public Administration,1977,https://en.wikipedia.org/wiki/Russia,47
King Abdulaziz University,1976,https://en.wikipedia.org/wiki/Saudi_Arabia,48
Technical and Vocational University,1965,https://en.wikipedia.org/wiki/Iran,49
National Polytechnic Institute,1936,https://en.wikipedia.org/wiki/Mexico,50
Autonomous University of Santo Domingo,1538,https://en.wikipedia.org/wiki/Dominican_Republic,51
Ain Shams University,1950,https://en.wikipedia.org/wiki/Egypt,52
University of London,1836,https://en.wikipedia.org/wiki/United_Kingdom,53
Southern New Hampshire University,1932,https://en.wikipedia.org/wiki/United_States,54
Illinois Board of Higher Education,1862,https://en.wikipedia.org/wiki/United_States,55
University of Wisconsin System,1848,https://en.wikipedia.org/wiki/United_States,56
Universiti Teknologi MARA,1956,https://en.wikipedia.org/wiki/Malaysia,57
University of the People,2009,https://en.wikipedia.org/wiki/United_States,58
Korea National Open University,1972,https://en.wikipedia.org/wiki/South_Korea,59
Dr. A.P.J. Abdul Kalam Technical University,2000,https://en.wikipedia.org/wiki/India,60
Madhya Pradesh Bhoj Open University,1991,https://en.wikipedia.org/wiki/India,61
Sapienza University of Rome,1303,https://en.wikipedia.org/wiki/Italy,62
University System of Maryland,1988,https://en.wikipedia.org/wiki/United_States,63
University of the Republic,1849,https://en.wikipedia.org/wiki/Uruguay,64
Norte do Paraná University,1972,https://en.wikipedia.org/wiki/Brazil,65
IU International University of Applied Sciences,1998,https://en.wikipedia.org/wiki/Germany,66
University of San Carlos of Guatemala,1676,https://en.wikipedia.org/wiki/Guatemala,67
University of Lyon,2007,https://en.wikipedia.org/wiki/France,68
UNIMINUTO system,1990,https://en.wikipedia.org/wiki/Colombia,69
Texas A&M University System,1876,https://en.wikipedia.org/wiki/United_States,70
National University of Córdoba,1613,https://en.wikipedia.org/wiki/Argentina,71
Pennsylvania State System of Higher Education,1982,https://en.wikipedia.org/wiki/United_States,72
Liberty University,1971,https://en.wikipedia.org/wiki/United_States,73
University of Toulouse,1229,https://en.wikipedia.org/wiki/France,74
Université du Québec,1968,https://en.wikipedia.org/wiki/Canada,75
Virtual University of Pakistan,2002,https://en.wikipedia.org/wiki/Pakistan,76
"Vietnam National University, Ho Chi Minh City",1995,https://en.wikipedia.org/wiki/Vietnam,77
University of Belgrade,1808,https://en.wikipedia.org/wiki/Serbia,78
University of Vienna,1365,https://en.wikipedia.org/wiki/Austria,79
Monterrey Institute of Technology and Higher Education,1943,https://en.wikipedia.org/wiki/Mexico,80
University of Toronto,1827,https://en.wikipedia.org/wiki/Canada,81
Aristotle University of Thessaloniki,1925,https://en.wikipedia.org/wiki/Greece,82
Polytechnic University of the Philippines,1904,https://en.wikipedia.org/wiki/Philippines,83
Complutense University of Madrid,1293,https://en.wikipedia.org/wiki/Spain,84
Farhangian University,2012,https://en.wikipedia.org/wiki/Iran,85
Aix-Marseille University,1409,https://en.wikipedia.org/wiki/France,86
University of Hagen,1974,https://en.wikipedia.org/wiki/Germany,87
Université de Montréal,1878,https://en.wikipedia.org/wiki/Canada,88
University of the Philippines,1908,https://en.wikipedia.org/wiki/Philippines,89
"Academic Center for Education, Culture and Research",1980,https://en.wikipedia.org/wiki/Iran,90
