Location,location_id
"New Delhi, India",1
"Gazipur, Bangladesh",2
"Eskişehir, Turkey",3
"California, United States",4
Iran,5
"Islamabad, Pakistan",6
International,7
"Jakarta, Indonesia",8
Mexico,9
"Pune, Maharashtra, India",10
"Meerut, Uttar Pradesh, India",11
"Mumbai, Maharashtra, India",12
"Bangkok, Thailand",13
Nigeria,14
"Kirtipur, Nepal",15
"Lahore, Punjab, Pakistan",16
"Telangana, India",17
"Florida, United States",18
"Ohio, United States",19
"Delhi, India",20
"Sikkim, India",21
"Pretoria, Gauteng, South Africa",22
"New York, United States",23
"Mexico City, Mexico",24
France,25
"Georgia, United States",26
"Buenos Aires, Argentina",27
"Minnesota, United States",28
"Hyderabad, Telangana, India",29
Spain,30
"Bhopal, Madhya Pradesh, India",31
"Giza, Egypt",32
"North Carolina, United States",33
"Texas, United States",34
"Rio de Janeiro, Rio de Janeiro, Brazil",35
"Guadalajara, Jalisco, Mexico",36
"Monterrey, Nuevo León, Mexico",37
"Milton Keynes, United Kingdom",38
"Utah, United States",39
"Moscow, Russian Federation",40
"Jeddah, Saudi Arabia",41
Santo Domingo,42
"Cairo, Egypt",43
"London, United Kingdom",44
"New Hampshire, United States",45
"Illinois, United States",46
"Wisconsin, United States",47
"Shah Alam, Malaysia",48
South Korea,49
"Lucknow, Uttar Pradesh, India",50
"Rome, Italy",51
"Maryland, United States",52
"Montevideo, Uruguay",53
"Londrina, Paraná, Brazil",54
"Erfurt, Germany",55
"Guatemala City, Guatemala",56
"Lyon, France",57
Colombia,58
"Córdoba, Argentina",59
"Pennsylvania, United States",60
"Virginia, United States",61
"Toulouse, France",62
"Quebec, Canada",63
"Lahore, Islamabad, Pakistan",64
"Ho Chi Minh City, Vietnam",65
"Belgrade, Serbia",66
"Vienna, Austria",67
"Toronto, Canada",68
"Thessaloniki, Greece",69
Philippines,70
"Madrid, Spain",71
"Marseille, France",72
"Hagen, Germany",73
Canada,74
